NumOfWords,NumOfChar,NumOfPunc,NumOfContPunc,NumOfContUpperCase,Bi-freq,un-freq,tri-freq,Label
14,88,0,0,0,4,3,3,1
8,43,1,0,0,4,3,3,1
10,62,0,0,0,4,3,3,1
8,50,1,0,0,6,4,6,1
13,93,1,0,0,10,6,12,1
15,92,2,0,0,10,6,12,0
7,65,0,0,0,4,3,3,0
13,65,0,0,1,6,4,6,1
13,83,0,0,1,8,5,9,1
9,69,0,0,0,4,3,3,0
13,70,0,0,0,10,6,12,0
9,65,1,0,3,16,9,21,1
8,47,1,0,0,8,5,9,1
10,62,0,0,2,8,5,9,0
6,36,0,0,0,8,5,9,1
11,68,0,0,0,10,6,12,0
11,78,3,0,0,10,6,12,1
12,77,1,1,0,10,6,12,0
10,57,0,0,2,8,5,9,1
8,49,0,0,0,2,2,1,1
10,59,0,0,0,6,4,6,1
11,70,0,0,0,14,8,18,1
7,55,0,0,0,4,3,3,0
9,47,2,0,0,14,8,18,1
12,71,1,0,1,8,5,9,1
8,57,1,0,0,4,3,3,1
11,73,1,0,0,18,10,24,1
7,58,0,0,1,1,1,1,1
12,64,0,0,0,8,5,9,0
13,66,1,0,1,4,3,3,0
8,51,0,0,0,4,3,3,1
7,37,0,0,0,1,1,1,0
15,97,0,0,0,6,4,6,1
10,69,0,0,0,8,5,9,0
9,60,0,0,0,10,6,12,1
9,61,1,0,0,8,5,9,1
2,53,1,0,0,2,2,1,1
10,66,0,0,2,6,4,6,1
12,74,0,0,0,10,6,12,0
7,51,0,0,0,4,3,3,1
11,78,2,1,0,4,3,3,0
10,65,1,0,0,8,5,9,0
12,70,0,0,2,2,2,1,0
5,36,0,0,0,6,4,6,1
17,88,3,0,0,10,6,12,1
12,85,0,0,0,12,7,15,1
6,37,0,0,0,2,2,1,1
13,97,1,0,2,10,6,12,1
14,94,1,0,1,10,6,12,1
14,78,0,0,1,2,2,1,1
8,57,1,0,0,8,5,9,0
11,65,1,0,0,4,3,3,0
11,72,0,0,0,10,6,12,0
13,72,0,0,0,10,6,12,1
22,126,2,0,0,26,14,36,1
8,58,0,0,1,4,3,3,1
14,83,0,0,1,10,6,12,1
7,47,0,0,0,6,4,6,1
8,58,0,0,0,8,5,9,0
8,42,0,0,0,6,4,6,0
9,53,0,0,1,4,3,3,0
8,59,0,0,0,6,4,6,0
8,48,1,0,0,6,4,6,1
20,118,0,0,1,16,9,21,1
16,79,0,0,1,6,4,6,0
12,77,0,0,1,10,6,12,0
13,66,1,0,2,8,5,9,0
11,64,0,0,0,6,4,6,0
15,86,0,0,3,8,5,9,1
16,85,1,0,3,8,5,9,1
12,68,0,0,0,10,6,12,1
13,71,0,0,1,10,6,12,0
16,99,0,0,0,10,6,12,1
12,57,0,0,1,8,5,9,0
13,81,0,0,0,12,7,15,1
17,97,0,0,1,12,7,15,0
11,69,0,0,0,6,4,6,0
12,67,0,0,1,6,4,6,0
10,60,0,0,0,6,4,6,0
13,89,0,0,0,10,6,12,1
11,66,1,1,0,6,4,6,0
11,58,0,0,2,8,5,9,0
10,69,0,0,0,4,3,3,1
9,72,0,0,0,8,5,9,0
13,87,0,0,0,10,6,12,1
9,61,1,0,0,6,4,6,0
16,117,2,0,0,14,8,18,1
13,83,1,0,0,16,9,21,1
14,77,1,0,0,4,3,3,0
18,98,0,0,3,14,8,18,1
11,81,3,0,1,6,4,6,1
9,69,3,0,0,8,5,9,0
9,63,0,0,2,6,4,6,1
7,45,0,0,0,4,3,3,1
10,57,0,0,0,6,4,6,1
12,58,0,0,2,4,3,3,0
11,74,1,0,0,8,5,9,1
13,74,2,0,0,10,6,12,0
26,201,6,0,0,30,16,42,1
9,52,0,0,1,6,4,6,1
16,84,0,0,0,8,5,9,1
12,70,0,0,0,6,4,6,1
7,45,0,0,1,10,6,12,1
7,64,2,0,0,10,6,12,1
14,72,2,0,0,6,4,6,0
8,39,1,0,0,1,1,1,1
12,64,0,0,1,10,6,12,1
12,72,0,0,1,12,7,15,1
9,62,0,0,0,10,6,12,0
11,71,0,0,0,6,4,6,1
13,70,0,0,0,8,5,9,0
13,81,0,0,0,10,6,12,1
2,11,0,0,0,1,1,1,1
21,112,3,0,0,10,6,12,1
5,27,1,0,0,2,2,1,1
9,66,0,0,0,6,4,6,1
15,109,0,0,0,10,6,12,1
15,103,0,0,0,12,7,15,1
10,57,0,0,0,6,4,6,1
11,65,0,0,11,8,5,9,1
20,121,2,0,1,16,9,21,1
12,84,2,0,0,6,4,6,1
6,33,1,0,1,4,3,3,1
9,63,1,0,0,6,4,6,1
15,87,3,1,0,6,4,6,1
15,97,0,0,0,12,7,15,1
14,98,2,0,0,12,7,15,1
9,75,1,0,0,8,5,9,0
14,82,1,0,0,6,4,6,1
13,86,2,0,0,14,8,18,1
9,61,1,0,0,4,3,3,0
20,103,2,0,8,14,8,18,1
5,40,0,0,0,2,2,1,1
10,57,1,0,0,8,5,9,0
10,70,0,0,0,14,8,18,1
16,100,0,0,0,6,4,6,1
5,35,0,0,0,2,2,1,1
9,64,1,0,0,6,4,6,0
10,53,0,0,0,6,4,6,1
6,46,0,0,0,4,3,3,1
15,77,1,1,1,10,6,12,0
11,76,1,0,0,8,5,9,1
11,56,1,0,0,6,4,6,1
16,108,2,0,0,14,8,18,1
11,59,0,0,0,6,4,6,0
7,39,0,0,0,4,3,3,1
15,75,1,0,0,8,5,9,0
5,36,0,0,0,4,3,3,1
11,64,0,0,0,10,6,12,1
8,56,0,0,0,8,5,9,1
20,141,9,1,3,18,10,24,1
11,56,1,0,0,8,5,9,1
11,60,0,0,0,4,3,3,1
10,65,1,0,0,8,5,9,0
14,86,1,0,0,6,4,6,1
4,28,0,0,0,10,6,12,1
11,74,0,0,0,12,7,15,1
10,55,0,0,0,6,4,6,1
15,97,0,0,0,16,9,21,1
11,56,0,0,0,8,5,9,0
8,59,0,0,0,6,4,6,1
17,89,0,0,0,10,6,12,0
12,75,1,0,0,8,5,9,1
38,214,2,0,1,20,11,27,1
9,74,0,0,1,10,6,12,1
11,64,0,0,1,10,6,12,0
11,65,0,0,0,10,6,12,0
11,65,2,0,0,4,3,3,1
12,76,0,0,2,8,5,9,1
10,59,0,0,0,8,5,9,0
6,42,2,0,0,4,3,3,1
4,23,0,0,0,1,1,1,1
8,67,0,0,0,6,4,6,0
7,35,1,0,0,4,3,3,1
11,82,0,0,0,10,6,12,0
8,50,0,0,0,6,4,6,1
29,162,0,0,0,30,16,42,1
15,91,2,0,3,18,10,24,1
12,73,0,0,0,12,7,15,0
7,63,0,0,0,4,3,3,0
9,47,0,0,0,6,4,6,0
5,23,0,0,0,1,1,1,1
5,26,0,0,0,4,3,3,1
11,70,1,0,0,4,3,3,1
12,75,0,0,0,8,5,9,0
12,65,1,0,0,2,2,1,0
7,42,0,0,1,6,4,6,1
12,69,0,0,0,12,7,15,0
7,54,1,0,0,8,5,9,0
10,57,1,0,0,8,5,9,1
9,60,1,1,0,8,5,9,1
13,73,0,0,0,6,4,6,0
19,104,0,1,4,10,6,12,1
10,69,1,0,0,8,5,9,1
7,47,0,0,0,6,4,6,1
11,73,0,0,0,10,6,12,0
12,73,0,0,0,12,7,15,0
14,79,1,0,0,6,4,6,0
10,57,1,0,0,8,5,9,1
22,128,1,0,0,22,12,30,1
